fips,st,county,name,pop,lat,lon,metro,income_family,price_m2,median_price,sales,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
02013,AK,Aleutians East Borough,"Aleutians East Borough, AK",3405,55.5201,-161.9782,1,85200,529.2,64167,3,973,1229,1361,1640,2151
02016,AK,Aleutians West Census Area,"Aleutians West Census Area, AK",5220,53.8604,-166.8133,1,136700,3337.0,512400,3,1437,1532,2010,2440,2740
02020,AK,Anchorage Municipality,"Anchorage Borough, AK",290675,61.1533,-148.9642,1,129000,2647.7,426444,3280,1089,1191,1563,2190,2625
02050,AK,Bethel Census Area,"Bethel Census Area, AK",18540,60.6197,-160.9306,1,79800,2277.0,357065,22,1640,1650,1900,2289,2519
02060,AK,Bristol Bay Borough,"Bristol Bay Borough, AK",855,58.7497,-156.7038,1,117200,659.2,188750,2,896,980,1253,1756,1981
02068,AK,Denali Borough,"Denali Borough, AK",2100,63.7653,-150.2513,1,147000,2236.2,199580,5,896,975,1271,1663,1944
02070,AK,Dillingham Census Area,"Dillingham Census Area, AK",4855,59.9702,-158.1514,1,82200,4065.7,422500,2,889,1123,1243,1712,1965
02090,AK,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",96300,64.8079,-146.5569,1,114900,2238.0,347761,1151,1144,1272,1669,2339,2803
02100,AK,Haines Borough,"Haines Borough, AK",2080,59.4181,-135.8122,1,110300,2139.7,384000,14,1049,1147,1467,1967,2319
02105,AK,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK",2330,58.5859,-136.7607,1,92600,2510.4,285000,2,989,1100,1443,1739,1913
02110,AK,Juneau City and Borough,"Juneau Borough, AK",32110,58.6584,-134.509,1,128700,3245.4,429367,24,1202,1336,1753,2456,2544
02122,AK,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK",59235,60.8415,-152.8153,1,111600,2661.6,378378,765,943,949,1245,1745,2091
02130,AK,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK",13910,55.6608,-130.5569,1,119300,2479.6,404515,49,1055,1172,1538,2138,2583
02150,AK,Kodiak Island Borough,"Kodiak Island Borough, AK",13065,57.3494,-154.4085,1,113100,2984.1,470272,57,1280,1422,1866,2295,2474
02170,AK,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK",108660,62.4132,-149.5091,1,120600,2728.8,425011,1834,1019,1055,1384,1939,2324
02180,AK,Nome Census Area,"Nome Census Area, AK",10020,65.4474,-164.9803,1,82000,2456.7,392500,2,1197,1267,1477,2070,2335
02185,AK,North Slope Borough,"North Slope Borough, AK",10925,69.4452,-153.6494,1,102200,2509.9,373500,9,1238,1376,1805,2175,2393
02188,AK,Northwest Arctic Borough,"Northwest Arctic Borough, AK",7680,67.0863,-159.254,1,86800,2657.3,675000,4,1290,1434,1881,2560,2973
02195,AK,Petersburg Borough,"Petersburg Borough, AK",3375,57.087,-132.5695,1,102400,2463.5,434018,28,976,1083,1365,1645,1944
02198,AK,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK",5800,55.7283,-132.7271,1,82800,2688.9,332146,24,873,946,1048,1392,1445
02220,AK,Sitka City and Borough,"Sitka Borough, AK",8460,56.9637,-134.9504,1,122000,3290.4,592340,10,1048,1248,1498,2099,2516
02240,AK,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK",6890,64.055,-142.4068,1,96300,2024.4,312253,84,894,1122,1250,1752,1976
02063,AK,Chugach Census Area,"Valdez-Cordova Census Area, AK",9615,61.2906,-144.5754,1,114300,1908.0,245453,37,963,1053,1347,1805,2128
02275,AK,Wrangell City and Borough,"Wrangell Borough, AK",2135,56.4036,-131.7878,1,79700,2259.8,288571,14,795,848,1112,1558,1758
02282,AK,Yakutat City and Borough,"Yakutat Borough, AK",565,59.991,-140.372,1,109800,633.2,50000,1,925,1012,1294,1632,2046
02290,AK,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK",5355,65.9133,-152.2298,1,68000,1088.2,167660,5,951,988,1094,1511,1729
01001,AL,Autauga County,"Autauga County, AL",58760,32.5528,-86.6237,1,83600,1637.0,296781,752,848,888,1055,1345,1665
01003,AL,Baldwin County,"Baldwin County, AL",233420,30.6404,-87.7081,1,93000,2162.6,384997,6777,972,1043,1244,1550,1975
01005,AL,Barbour County,"Barbour County, AL",24875,31.858,-85.4327,1,65300,1278.1,252525,122,587,648,772,996,1027
01007,AL,Bibb County,"Bibb County, AL",22250,32.9977,-87.1052,1,95900,1381.3,202880,81,998,1144,1267,1583,1791
01009,AL,Blount County,"Blount County, AL",59075,33.9752,-86.5727,1,95900,1568.1,253375,486,998,1144,1267,1583,1791
01011,AL,Bullock County,"Bullock County, AL",10330,32.092,-85.7173,1,49700,2908.5,502397,14,578,688,772,1017,1155
01013,AL,Butler County,"Butler County, AL",18980,31.7434,-86.6928,1,69600,1109.6,187574,64,600,684,809,975,1089
01015,AL,Calhoun County,"Calhoun County, AL",116160,33.7666,-85.8204,1,74000,1272.9,206713,1078,725,730,941,1295,1394
01017,AL,Chambers County,"Chambers County, AL",34610,32.9207,-85.3884,1,68400,1394.0,204352,278,733,760,997,1226,1322
01019,AL,Cherokee County,"Cherokee County, AL",25070,34.1579,-85.6181,1,71700,1805.8,276774,261,598,663,805,970,1211
01021,AL,Chilton County,"Chilton County, AL",45140,32.8877,-86.6916,1,80100,1531.4,252634,363,678,682,881,1203,1208
01023,AL,Choctaw County,"Choctaw County, AL",12670,32.0043,-88.2913,1,71300,1050.0,382000,4,578,600,772,1007,1309
01025,AL,Clarke County,"Clarke County, AL",23060,31.7249,-87.8299,1,78400,1061.6,214375,40,578,600,772,1080,1309
01027,AL,Clay County,"Clay County, AL",14210,33.2717,-85.8292,1,66700,1396.5,256769,36,565,630,772,1058,1133
01029,AL,Cleburne County,"Cleburne County, AL",15145,33.6595,-85.4901,1,82900,1682.4,251373,84,614,631,828,1039,1245
01031,AL,Coffee County,"Coffee County, AL",53560,31.3994,-85.9907,1,86400,1559.7,270589,754,642,653,857,1208,1325
01033,AL,Colbert County,"Colbert County, AL",57270,34.6588,-87.7954,1,82400,1496.4,242744,689,674,743,974,1196,1421
01035,AL,Conecuh County,"Conecuh County, AL",11575,31.4367,-87.0013,1,60100,984.1,158513,47,578,600,772,1088,1155
01037,AL,Coosa County,"Coosa County, AL",10330,32.929,-86.2478,1,73900,1559.5,411655,50,593,615,792,957,1184
01039,AL,Covington County,"Covington County, AL",37540,31.2528,-86.4537,1,70800,1228.2,201428,301,584,587,772,1020,1285
01041,AL,Crenshaw County,"Crenshaw County, AL",13205,31.714,-86.3099,1,71900,941.9,153471,17,578,587,772,933,1027
01043,AL,Cullman County,"Cullman County, AL",88285,34.128,-86.9022,1,83500,1661.8,255588,1096,691,695,902,1176,1340
01045,AL,Dale County,"Dale County, AL",49455,31.4452,-85.6083,1,75400,1365.3,204879,415,669,679,772,1088,1309
01047,AL,Dallas County,"Dallas County, AL",38325,32.293,-87.1023,1,57000,861.9,162506,157,589,625,821,1065,1094
01049,AL,DeKalb County,"DeKalb County, AL",71680,34.4373,-85.7992,1,59700,1646.8,236943,567,578,587,772,1044,1280
01051,AL,Elmore County,"Elmore County, AL",87695,32.5944,-86.1124,1,83600,1686.7,301498,1263,848,888,1055,1345,1665
01053,AL,Escambia County,"Escambia County, AL",36755,31.1303,-87.1594,1,65300,1118.2,181892,235,578,643,772,985,1148
01055,AL,Etowah County,"Etowah County, AL",103350,34.0441,-86.0394,1,70600,1369.0,226673,930,646,810,942,1139,1255
01057,AL,Fayette County,"Fayette County, AL",16295,33.7332,-87.7603,1,77700,1085.6,180007,121,578,687,772,1068,1155
01059,AL,Franklin County,"Franklin County, AL",32010,34.4424,-87.8402,1,71300,1130.9,186166,138,578,688,772,971,1189
01061,AL,Geneva County,"Geneva County, AL",26645,31.0981,-85.8378,1,78200,1329.1,198835,177,718,722,896,1223,1384
01063,AL,Greene County,"Greene County, AL",7705,32.9269,-87.9833,1,47100,1176.2,183545,11,813,819,1074,1294,1424
01065,AL,Hale County,"Hale County, AL",14740,32.7825,-87.6383,1,91100,1491.7,203432,63,916,922,1138,1450,1509
01067,AL,Henry County,"Henry County, AL",17280,31.5171,-85.2362,1,85500,1595.7,277154,171,593,597,783,1048,1124
01069,AL,Houston County,"Houston County, AL",107040,31.156,-85.299,1,78200,1472.9,245026,1124,718,722,896,1223,1384
01071,AL,Jackson County,"Jackson County, AL",52620,34.7597,-85.9917,1,68100,1560.4,253602,357,578,674,772,952,1266
01073,AL,Jefferson County,"Jefferson County, AL",672265,33.5895,-86.8609,1,95900,1652.2,289357,8437,998,1144,1267,1583,1791
01075,AL,Lamar County,"Lamar County, AL",13885,33.7789,-88.0933,1,64800,924.2,158144,16,645,648,772,1088,1155
01077,AL,Lauderdale County,"Lauderdale County, AL",94330,34.882,-87.7462,1,82400,1555.6,263846,1097,674,743,974,1196,1421
01079,AL,Lawrence County,"Lawrence County, AL",33115,34.5036,-87.3116,1,95200,1414.9,215522,209,726,756,923,1214,1456
01081,AL,Lee County,"Lee County, AL",175125,32.5997,-85.3244,1,95300,1995.4,371490,2863,844,1009,1168,1527,1632
01083,AL,Limestone County,"Limestone County, AL",104200,34.8259,-86.9779,1,115500,1780.9,323359,2411,928,1071,1248,1609,1964
01085,AL,Lowndes County,"Lowndes County, AL",10155,32.157,-86.6306,1,83600,1127.4,202210,20,848,888,1055,1345,1665
01087,AL,Macon County,"Macon County, AL",19200,32.3807,-85.6986,1,58900,1105.2,145468,47,605,617,810,999,1372
