fips,name,reason
35011,"De Baca County, NM",ACS не публикует медианный доход домохозяйства
48261,"Kenedy County, TX","ACS не публикует ни стоимости жилья, ни аренды"
48301,"Loving County, TX","ACS не публикует ни стоимости жилья, ни аренды"
72001,"Adjuntas Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72003,"Aguada Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72005,"Aguadilla Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72007,"Aguas Buenas Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72009,"Aibonito Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72011,"Añasco Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72013,"Arecibo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72015,"Arroyo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72017,"Barceloneta Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72019,"Barranquitas Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72021,"Bayamón Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72023,"Cabo Rojo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72025,"Caguas Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72027,"Camuy Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72029,"Canóvanas Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72031,"Carolina Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72033,"Cataño Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72035,"Cayey Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72037,"Ceiba Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72039,"Ciales Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72041,"Cidra Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72043,"Coamo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72045,"Comerío Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72047,"Corozal Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72049,"Culebra Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72051,"Dorado Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72053,"Fajardo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72054,"Florida Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72055,"Guánica Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72057,"Guayama Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72059,"Guayanilla Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72061,"Guaynabo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72063,"Gurabo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72065,"Hatillo Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72067,"Hormigueros Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72069,"Humacao Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72071,"Isabela Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72073,"Jayuya Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72075,"Juana Díaz Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
72077,"Juncos Municipio, PR","Пуэрто-Рико: отдельное обследование PRCS, в итоги США не входит"
